review_decision,review_instruction,review_notes,reviewed_by,canonical_name,submission_url_override,pricing,lang,classification,candidate_import_recommendation,url,domain,source_files,source_locations,registry_target_ids,registry_submit_urls,occurrence_count
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/usergrowth-link%ef%bc%9a%e8%bd%bb%e6%9d%be%e6%8b%93%e5%b1%95%e6%b5%b7%e5%a4%96%e6%b5%81%e9%87%8f%e5%a2%9e%e9%95%bf%e7%9a%84%e4%bc%98%e8%b4%a8seo%e8%b5%84%e6%ba%90%e8%81%9a%e5%90%88%e5%b9%b3%e5%8f%b0,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[4].sources[1].url; 91wink-seo-resource-directory.json:json:results[45].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/we-like-tools-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[8].sources[0].url; 91wink-seo-resource-directory.json:json:results[3].articleUrl,,,2
,verify_submit_form_before_approval,,,a.example,,unknown,unknown,missing_domain,review_submit_url,https://a.example/submit,a.example,repo-external-links.csv,repo-external-links.csv:row 29:url,,,1
,verify_directory_fit_before_approval,,,about.me,,unknown,unknown,missing_domain,needs_manual_review,https://about.me/,about.me,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 4:url; directory-submissions-external-links.md:6,,,2
,verify_directory_fit_before_approval,,,abracomex.org,,unknown,unknown,missing_domain,needs_manual_review,https://abracomex.org/aula-inaugural-graduacao-servicos-juridicos-online,abracomex.org,repo-external-links.csv,repo-external-links.csv:row 31:url,,,1
,verify_directory_fit_before_approval,,,accounts.google.com,,unknown,unknown,missing_domain,needs_manual_review,https://accounts.google.com/,accounts.google.com,repo-external-links.csv,repo-external-links.csv:row 32:url,,,1
,verify_directory_fit_before_approval,,,activerain.com,,unknown,unknown,missing_domain,needs_manual_review,https://activerain.com/,activerain.com,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 5:url; directory-submissions-external-links.md:7,,,2
reject_auth_required,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: login/register signal found; 1 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",read_only_evidence,activesearchresults.com,,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.activesearchresults.com/,activesearchresults.com,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 144:url; directory-submissions-external-links.md:146,asr,https://www.activesearchresults.com/addwebsite.php,2
reject_not_submit,verify_directory_fit_before_approval,drafted from read-only evidence suggestion; confidence: high; HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: login/register signal found; HTTP 404,read_only_evidence,advicefromatwentysomething.com,,unknown,unknown,missing_domain,needs_manual_review,https://advicefromatwentysomething.com/3-simple-ways-to-reconnect-with-your-creativity,advicefromatwentysomething.com,repo-external-links.csv,repo-external-links.csv:row 33:url,,,1
reject_paid,verify_submit_form_before_approval,"drafted from read-only evidence suggestion; confidence: high; payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; CAPTCHA signal found; 4 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; final domain changed to hugedomains.com",read_only_evidence,agenthunter.com,,paid,unknown,missing_domain,review_submit_url,https://agenthunter.com/submit,agenthunter.com,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 6:url; directory-submissions-external-links.md:8,,,2
,verify_submit_form_before_approval,,,ai.xyz,,unknown,unknown,missing_domain,review_submit_url,https://ai.xyz/submit,ai.xyz,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 7:url; directory-submissions-external-links.md:9,,,2
,verify_submit_form_before_approval,,,aiagents.live,,unknown,unknown,missing_domain,review_submit_url,https://aiagents.live/submit,aiagents.live,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 8:url; directory-submissions-external-links.md:10,,,2
,verify_submit_form_before_approval,,,aiagentsbase.com,,unknown,unknown,missing_domain,review_submit_url,https://aiagentsbase.com/submit,aiagentsbase.com,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 9:url; directory-submissions-external-links.md:11,,,2
reject_not_submit,verify_submit_form_before_approval,"drafted from read-only evidence suggestion; confidence: high; HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: payment/pricing signal found; CAPTCHA signal found; 3 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; HTTP 404",read_only_evidence,aiagentsdirectory.com,,unknown,unknown,missing_domain,review_submit_url,https://aiagentsdirectory.com/submit,aiagentsdirectory.com,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 10:url; directory-submissions-external-links.md:12,,,2
