batch_id,batch_order,review_row,review_action,url,domain,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,suggested_decision,evidence_notes,fetch_error,checked_at
p2-recheck-001,19,105,verify_directory_fit_before_any_approval,https://bai.tools/,bai.tools,200,yes,https://bai.tools/,bai.tools,no,text/html; charset=utf-8,Best AI Tools Directory - BAI.tools,1,2,yes,no,yes,yes,no,yes,yes,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:06:18.365Z
p2-recheck-002,121,107,verify_directory_fit_before_any_approval,https://www.bakerella.com/16-sweet-easter-treats,bakerella.com,200,yes,https://www.bakerella.com/16-sweet-easter-treats/,bakerella.com,no,text/html; charset=UTF-8,16 Sweet Easter Treats - Bakerella,5,24,yes,no,yes,yes,no,yes,no,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; 5 form(s), 24 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:49:47.919Z
p2-recheck-002,122,108,verify_directory_fit_before_any_approval,https://www.bakerella.com/sweets-for-the-season,bakerella.com,200,yes,https://www.bakerella.com/sweets-for-the-season/,bakerella.com,no,text/html; charset=UTF-8,Sweets for the Season - Bakerella,5,24,yes,no,yes,yes,no,yes,no,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; 5 form(s), 24 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:49:51.673Z
p2-recheck-002,123,109,verify_directory_fit_before_any_approval,https://www.bakerella.com/yummy-mummy-snack-cakes,bakerella.com,200,yes,https://www.bakerella.com/yummy-mummy-snack-cakes/,bakerella.com,no,text/html; charset=UTF-8,Yummy Mummy Snack Cakes - Bakerella,6,24,yes,no,yes,yes,no,yes,yes,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 6 form(s), 24 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:49:55.459Z
p2-recheck-002,124,110,verify_directory_fit_before_any_approval,https://bakersroyale.com/chocolate-banana-bread-muffins-stuffed-with-reeses-peanut-butter-cup,bakersroyale.com,200,yes,https://bakersroyale.com/chocolate-banana-bread-muffins-stuffed-with-reeses-peanut-butter-cup/,bakersroyale.com,no,text/html; charset=UTF-8,Chocolate Banana Bread Muffins stuffed with Reese&#039;s Peanut Butter up | Bakers Royale,5,16,yes,no,yes,no,no,yes,yes,no,no,reject_auth_required,"CAPTCHA signal found; Cloudflare/human verification signal found; 5 form(s), 16 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:49:58.928Z
p2-recheck-001,20,111,verify_directory_fit_before_any_approval,https://bandcamp.com/,bandcamp.com,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,fetch failed,fetch failed,2026-05-22T10:06:19.532Z
p2-recheck-002,125,112,verify_directory_fit_before_any_approval,https://bangshift.com/bangshift1320/baby-gators-photos-nhra-divisional-sportsman-drag-racing-action-shots,bangshift.com,200,yes,https://bangshift.com/bangshift1320/baby-gators-photos-nhra-divisional-sportsman-drag-racing-action-shots/,bangshift.com,no,text/html; charset=UTF-8,BangShift.com Baby Gators Photos: NHRA Divisional Sportsman Drag Racing Action Shots - BangShift.com,2,3,yes,no,yes,no,no,yes,yes,no,no,reject_auth_required,"CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:50:01.607Z
p2-recheck-002,126,113,verify_directory_fit_before_any_approval,https://www.beautythroughimperfection.com/reindeer-donuts,beautythroughimperfection.com,200,yes,https://www.beautythroughimperfection.com/reindeer-donuts/,beautythroughimperfection.com,no,text/html; charset=UTF-8,Reindeer donuts - Beauty Through Imperfection,4,18,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:50:05.839Z
p2-recheck-001,21,114,verify_directory_fit_before_any_approval,https://www.behance.net/,behance.net,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,fetch failed,fetch failed,2026-05-22T10:06:20.203Z
p2-recheck-001,22,116,verify_directory_fit_before_any_approval,https://betabound.com/,betabound.com,200,yes,https://betabound.com/,betabound.com,no,text/html; charset=UTF-8,"Betabound - We collect, organize, and offer great testing opportunities.",2,22,yes,no,yes,yes,no,yes,no,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; 2 form(s), 22 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:06:30.542Z
