batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p2-002,127,P2,37,424,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,placester.com,unknown,unknown,missing_domain,needs_manual_review,https://placester.com/,placester.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 103:url; directory-submissions-external-links.md:105,,
p2-002,128,P2,37,426,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,porch.com,unknown,unknown,missing_domain,needs_manual_review,https://porch.com/,porch.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 104:url; directory-submissions-external-links.md:106,,
p2-002,129,P2,37,428,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,pr-free.com,unknown,unknown,missing_domain,needs_manual_review,https://www.pr-free.com/,pr-free.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 227:url; directory-submissions-external-links.md:229,,
p2-002,130,P2,37,429,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,pr.com,unknown,unknown,missing_domain,needs_manual_review,https://www.pr.com/,pr.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 228:url; directory-submissions-external-links.md:230,,
p2-002,131,P2,37,434,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,prlog.org,unknown,unknown,missing_domain,needs_manual_review,https://www.prlog.org/,prlog.org,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 229:url; directory-submissions-external-links.md:231,,
p2-002,132,P2,37,436,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,profithunt.co,unknown,unknown,missing_domain,needs_manual_review,https://profithunt.co/,profithunt.co,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 107:url; directory-submissions-external-links.md:109,,
p2-002,133,P2,37,440,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,proofstories.io,unknown,unknown,missing_domain,needs_manual_review,https://proofstories.io/,proofstories.io,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 108:url; directory-submissions-external-links.md:110,,
p2-002,134,P2,37,444,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,quibblo.com,unknown,unknown,missing_domain,needs_manual_review,https://www.quibblo.com/,quibblo.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 232:url; directory-submissions-external-links.md:234,,
p2-002,135,P2,37,455,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,replit.com,unknown,unknown,missing_domain,needs_manual_review,https://replit.com/,replit.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 109:url; directory-submissions-external-links.md:111,,
p2-002,136,P2,37,458,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,rundown.ai,unknown,unknown,missing_domain,needs_manual_review,https://www.rundown.ai/tools,rundown.ai,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 233:url; directory-submissions-external-links.md:235,,
p2-002,137,P2,37,466,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,scoop.it,unknown,unknown,missing_domain,needs_manual_review,https://www.scoop.it/,scoop.it,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 235:url; directory-submissions-external-links.md:237,,
p2-002,138,P2,37,467,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,scribd.com,unknown,unknown,missing_domain,needs_manual_review,https://www.scribd.com/,scribd.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 236:url; directory-submissions-external-links.md:238,,
p2-002,139,P2,37,469,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,semfirms.com,unknown,unknown,missing_domain,needs_manual_review,https://www.semfirms.com/,semfirms.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 237:url; directory-submissions-external-links.md:239,,
p2-002,140,P2,37,471,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,showmelocal.com,unknown,unknown,missing_domain,needs_manual_review,https://www.showmelocal.com/,showmelocal.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 238:url; directory-submissions-external-links.md:240,,
p2-002,141,P2,37,476,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,sitepoint.com,unknown,unknown,missing_domain,needs_manual_review,https://www.sitepoint.com/community,sitepoint.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 240:url; directory-submissions-external-links.md:242,,
p2-002,142,P2,37,482,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,slant.co,unknown,unknown,missing_domain,needs_manual_review,https://www.slant.co/,slant.co,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 242:url; directory-submissions-external-links.md:244,,
p2-002,143,P2,37,485,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,slideshare.net,unknown,unknown,missing_domain,needs_manual_review,https://www.slideshare.net/,slideshare.net,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 243:url; directory-submissions-external-links.md:245,,
p2-002,144,P2,37,490,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,sooperarticles.com,unknown,unknown,missing_domain,needs_manual_review,https://www.sooperarticles.com/,sooperarticles.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 245:url; directory-submissions-external-links.md:247,,
p2-002,145,P2,37,491,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,soundcloud.com,unknown,unknown,missing_domain,needs_manual_review,https://soundcloud.com/,soundcloud.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 113:url; directory-submissions-external-links.md:115,,
