batch_id,batch_order,review_row,review_action,url,domain,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,suggested_decision,evidence_notes,fetch_error,checked_at
p2-004,321,367,verify_directory_fit_before_any_approval,https://www.moonsoap.com/hpgen/HPB/entries/8.html,moonsoap.com,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,This operation was aborted,This operation was aborted,2026-05-22T08:37:36.594Z
p2-004,322,368,verify_directory_fit_before_any_approval,https://multichain.com/qa/user/parrotcatsup3,multichain.com,404,no,https://multichain.com/qa/user/parrotcatsup3,multichain.com,no,text/html; charset=utf-8,MultiChain Developer Q&amp;A,1,2,yes,no,no,yes,no,no,no,no,no,review_fetch_failed,"login/register signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; HTTP 404",HTTP 404,2026-05-22T08:37:46.610Z
p2-004,323,369,verify_directory_fit_before_any_approval,https://mummyfever.co.uk/family-skiing-in-bulgaria,mummyfever.co.uk,200,yes,https://mummyfever.co.uk/family-skiing-in-bulgaria/,mummyfever.co.uk,no,text/html; charset=UTF-8,Family Skiing In Bulgaria - Mummy Fever,3,17,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:37:48.656Z
p2-004,324,370,verify_directory_fit_before_any_approval,https://mummyfever.co.uk/the-best-youtube-home-workouts,mummyfever.co.uk,200,yes,https://mummyfever.co.uk/the-best-youtube-home-workouts/,mummyfever.co.uk,no,text/html; charset=UTF-8,The Best YouTube Home Workouts - Mummy Fever,3,17,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:37:54.775Z
p2-004,325,372,verify_directory_fit_before_any_approval,https://musthavemom.com/how-to-get-a-designer-look-without-the-interior-decorator-price-tag,musthavemom.com,200,yes,https://musthavemom.com/how-to-get-a-designer-look-without-the-interior-decorator-price-tag/,musthavemom.com,no,text/html; charset=UTF-8,How to Get A Designer Look WITHOUT The Interior Decorator Price Tag - Must Have Mom,3,6,yes,no,yes,yes,no,yes,yes,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:37:59.043Z
p2-004,326,374,verify_directory_fit_before_any_approval,https://myanimelist.net/profile/Akizuki_Airi,myanimelist.net,200,yes,https://myanimelist.net/profile/Akizuki_Airi,myanimelist.net,no,text/html; charset=UTF-8,Akizuki_Airi&#039;s Profile - MyAnimeList.net,1,2,yes,no,yes,yes,no,yes,no,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:38:04.152Z
p2-004,327,375,verify_directory_fit_before_any_approval,https://www.mycomics.de/profil/tedcrane.html,mycomics.de,200,yes,https://www.mycomics.de/profil/tedcrane.html,mycomics.de,no,text/html; charset=utf-8,Profil - myComics.de,2,7,yes,no,no,no,no,yes,no,no,no,reject_auth_required,"CAPTCHA signal found; 2 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found",,2026-05-22T08:38:05.686Z
p2-004,328,376,verify_directory_fit_before_any_approval,https://mycoolapp.com/,mycoolapp.com,200,yes,https://www.hugedomains.com/domain_profile.cfm?d=mycoolapp.com,hugedomains.com,yes,text/html; charset=utf-8,MyCoolApp.com is for sale | HugeDomains,3,5,yes,no,no,no,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; CAPTCHA signal found; 3 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; final domain changed to hugedomains.com",,2026-05-22T08:38:07.455Z
p2-004,329,378,verify_directory_fit_before_any_approval,https://mysite.com/,mysite.com,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,fetch failed,fetch failed,2026-05-22T08:38:11.226Z
p2-004,330,379,verify_directory_fit_before_any_approval,https://nasze-lasie-pl.sugester.pl/167783170-ChatGPT-in-Spain-Revolutionizing-Communication-and-AI-Interaction?order=popular&page=2,nasze-lasie-pl.sugester.pl,200,yes,https://nasze-lasie-pl.sugester.pl/?error=private_forum,nasze-lasie-pl.sugester.pl,no,text/html; charset=utf-8,nasze-lasie.pl,1,19,yes,no,no,no,no,yes,no,no,no,reject_auth_required,"CAPTCHA signal found; 1 form(s), 19 input/select/textarea fields; submit/add/list/publish button text signal found",,2026-05-22T08:38:15.473Z
