batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p2-003,227,P2,26,160,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,bordeaux.onvasortir.com,unknown,unknown,missing_domain,needs_manual_review,https://bordeaux.onvasortir.com/profil_msg_inexistant.php,bordeaux.onvasortir.com,1,repo-external-links.csv,repo-external-links.csv:row 108:url,,
p2-003,228,P2,26,161,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,brownbagteacher.com,unknown,unknown,missing_domain,needs_manual_review,https://brownbagteacher.com/what-im-reading,brownbagteacher.com,1,repo-external-links.csv,repo-external-links.csv:row 110:url,,
p2-003,229,P2,26,163,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,browneyedbaker.com,unknown,unknown,missing_domain,needs_manual_review,https://www.browneyedbaker.com/how-to-make-pate-a-choux-fill-eclairs-and-cream-puffs,browneyedbaker.com,1,repo-external-links.csv,repo-external-links.csv:row 360:url,,
p2-003,230,P2,26,164,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,bugs.documentfoundation.org,unknown,unknown,missing_domain,needs_manual_review,https://bugs.documentfoundation.org/show_bug.cgi?id=162681,bugs.documentfoundation.org,1,repo-external-links.csv,repo-external-links.csv:row 112:url,,
p2-003,231,P2,26,174,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,calaos.fr,unknown,unknown,missing_domain,needs_manual_review,https://calaos.fr/forum/member.php?action=profile&uid=7732,calaos.fr,1,repo-external-links.csv,repo-external-links.csv:row 114:url,,
p2-003,232,P2,26,175,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,cantstayoutofthekitchen.com,unknown,unknown,missing_domain,needs_manual_review,https://cantstayoutofthekitchen.com/2022/01/06/blueberry-walnut-overnight-oatmeal,cantstayoutofthekitchen.com,1,repo-external-links.csv,repo-external-links.csv:row 115:url,,
p2-003,233,P2,26,177,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,capturebilling.com,unknown,unknown,missing_domain,needs_manual_review,https://capturebilling.com/new-quality-aca-reporting-standards,capturebilling.com,1,repo-external-links.csv,repo-external-links.csv:row 116:url,,
p2-003,234,P2,26,178,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,career.tu-sofia.bg,unknown,unknown,missing_domain,needs_manual_review,https://career.tu-sofia.bg/employer/geometry-dash-subzero,career.tu-sofia.bg,1,repo-external-links.csv,repo-external-links.csv:row 117:url,,
p2-003,235,P2,26,179,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,cartoonresearch.com,unknown,unknown,missing_domain,needs_manual_review,https://cartoonresearch.com/index.php/forgotten-anime-57-kirara-2000,cartoonresearch.com,1,repo-external-links.csv,repo-external-links.csv:row 118:url,,
p2-003,236,P2,26,180,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,certifiedpastryaficionado.com,unknown,unknown,missing_domain,needs_manual_review,https://www.certifiedpastryaficionado.com/churro-waffles,certifiedpastryaficionado.com,1,repo-external-links.csv,repo-external-links.csv:row 363:url,,
p2-003,237,P2,26,181,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,certifiedpastryaficionado.com,unknown,unknown,missing_domain,needs_manual_review,https://www.certifiedpastryaficionado.com/nutella-cream-pie,certifiedpastryaficionado.com,1,repo-external-links.csv,repo-external-links.csv:row 364:url,,
